node_1,node_2
215,350
215,529
215,748
350,29
350,622
350,291
350,188
350,247
350,150
350,366
350,214
350,631
350,577
350,679
350,725
350,411
350,442
350,441
350,381
350,721
350,551
350,303
350,497
350,481
350,48
350,72
350,489
350,517
350,301
350,16
350,3
350,340
350,412
350,720
529,182
529,166
529,310
529,49
529,17
529,506
529,566
529,505
529,725
529,50
529,362
529,752
529,758
529,741
529,64
529,97
529,360
529,294
529,18
748,192
748,591
748,635
748,550
748,478
748,266
748,603
748,479
748,674
748,255
748,570
748,548
748,321
182,534
182,511
182,531
166,511
166,684
310,431
49,396
506,7
566,531
505,435
505,531
505,320
505,302
505,534
505,388
505,175
505,163
505,7
725,503
725,663
50,534
50,103
50,531
362,401
758,320
758,663
758,93
741,239
741,530
741,99
741,105
741,197
64,102
64,103
97,524
360,138
18,724
29,94
622,396
291,535
291,534
291,452
188,531
247,532
247,523
150,528
366,396
366,44
366,164
631,534
631,452
577,531
577,164
577,103
577,44
679,105
679,724
411,401
411,762
411,164
411,724
442,641
442,452
442,94
442,164
442,108
442,128
442,536
442,91
442,217
441,43
441,401
441,763
441,528
441,99
441,534
441,197
721,395
551,531
551,689
551,423
551,534
551,103
497,95
497,164
497,105
497,332
481,512
481,164
481,335
481,197
48,503
48,164
48,396
48,83
72,105
489,762
489,164
301,396
301,44
301,164
16,512
3,512
3,164
3,534
3,26
340,392
340,395
340,512
412,164
720,43
720,99
720,197
720,175
720,396
192,164
192,105
192,393
591,94
591,705
550,457
478,99
478,186
266,423
603,164
603,511
479,197
479,239
674,332
255,164
255,12
255,393
570,43
570,164
570,99
570,105
570,432
570,197
548,105
548,103
321,12
531,272
531,449
531,204
531,572
531,576
531,726
531,409
531,488
531,299
531,573
531,714
531,208
531,69
531,198
531,101
531,691
531,315
531,327
531,2
531,546
531,32
531,307
531,143
531,520
531,571
531,547
531,68
531,540
396,61
396,661
396,195
396,380
396,135
396,258
396,140
396,118
396,560
396,599
396,314
396,723
396,131
396,399
396,627
396,414
396,240
396,633
396,486
396,629
396,238
396,445
396,460
396,323
396,36
396,483
396,174
396,20
396,760
396,209
396,626
396,254
396,158
396,282
396,417
396,229
396,144
396,448
396,187
396,368
396,422
396,676
396,328
396,620
396,324
396,203
396,82
396,58
396,630
396,153
396,625
396,359
396,231
396,657
396,111
396,119
396,595
396,367
396,157
396,236
396,619
396,245
396,547
396,458
396,317
396,305
320,23
320,712
320,195
320,348
320,501
320,70
320,643
320,664
320,312
320,498
320,84
320,228
663,704
663,426
663,730
663,71
663,671
663,14
663,586
663,744
663,634
663,22
663,85
663,767
663,589
663,280
663,427
93,364
93,421
93,627
93,547
435,85
302,61
302,455
302,621
302,471
302,434
302,521
302,476
302,484
302,461
302,342
302,298
302,382
302,562
302,749
302,34
534,88
534,557
534,428
534,11
534,545
534,336
534,645
534,375
534,191
534,297
534,211
534,605
534,659
534,369
534,475
534,470
534,569
534,563
534,14
534,492
534,213
534,13
534,408
534,549
534,576
534,487
534,447
534,60
534,542
534,151
534,382
534,594
534,349
534,345
534,312
534,170
534,485
534,343
534,189
534,693
534,341
534,633
534,145
534,510
534,597
534,495
534,309
534,371
534,281
534,650
534,139
534,384
534,400
534,24
534,354
534,727
534,716
534,695
534,272
534,41
534,66
534,564
534,687
534,5
534,232
534,710
534,201
534,171
534,574
534,696
534,735
534,703
534,544
388,740
388,484
175,655
175,565
175,54
175,339
175,142
175,654
175,722
175,700
175,686
175,662
175,149
175,615
175,664
175,279
175,715
175,403
175,428
175,446
175,406
175,683
175,637
175,365
175,384
175,6
175,708
175,121
175,595
175,559
175,333
175,587
175,313
175,480
175,271
175,630
175,712
175,749
163,355
163,126
163,250
163,554
163,569
163,759
163,769
163,760
163,193
163,278
163,743
163,342
163,262
163,767
163,289
163,286
163,261
7,639
7,347
7,65
7,471
7,617
7,204
7,473
7,743
7,740
102,651
102,73
102,267
102,2
102,307
102,34
102,299
103,272
103,13
103,572
103,117
103,693
103,726
103,488
103,299
103,237
103,200
103,573
103,40
103,447
103,387
103,519
103,101
103,264
103,541
103,715
103,477
103,295
103,427
103,507
103,730
103,211
103,651
103,659
103,73
103,609
103,416
103,345
103,453
103,228
103,475
103,307
103,38
103,443
103,81
103,547
103,208
103,343
103,565
103,757
103,34
724,445
724,737
724,429
431,639
431,347
431,246
431,589
431,286
511,306
511,410
511,650
511,233
511,378
511,281
511,765
511,171
511,265
511,620
401,405
401,671
401,723
401,731
401,414
401,283
401,402
401,60
401,237
401,254
401,285
401,742
401,604
401,6
401,51
401,325
401,484
401,496
401,734
401,120
401,227
401,738
401,404
401,544
138,270
138,376
138,260
138,500
239,585
99,256
99,88
99,398
99,733
99,258
99,419
99,522
99,564
99,600
99,27
99,616
99,731
99,552
99,268
99,584
99,665
99,33
99,284
99,5
99,232
99,710
99,597
99,122
99,728
99,756
99,42
99,677
99,500
99,123
99,194
99,147
99,586
99,229
99,144
99,4
99,646
99,632
99,690
99,607
99,446
99,650
99,544
99,82
99,413
99,651
99,326
99,466
99,304
