node_1,node_2
徐长卿,牙痛
徐长卿,腰痛
徐长卿,麻疹
牙痛,人参叶
牙痛,蜂房
牙痛,樟脑
牙痛,山柰
牙痛,朱砂莲
牙痛,天仙子
牙痛,猫爪草
牙痛,当药
牙痛,蟾酥
牙痛,荜茇
牙痛,铁包金
牙痛,骨碎补
牙痛,白芷
牙痛,石膏
牙痛,石榴皮
牙痛,甘松
牙痛,马钱子
牙痛,花椒
牙痛,水杨梅
牙痛,罗勒
牙痛,紫金龙
牙痛,全蝎
牙痛,功劳木
牙痛,细辛
牙痛,胖大海
牙痛,毛茛
牙痛,九里香
牙痛,七叶莲
牙痛,灯盏细辛
牙痛,白英
牙痛,马蔺子
腰痛,小茴香
腰痛,女贞
腰痛,沙苑子
腰痛,八月札
腰痛,九香虫
腰痛,肉苁蓉
腰痛,茴香
腰痛,肉桂
腰痛,骨碎补
腰痛,八角茴香
腰痛,狗脊
腰痛,黄皮
腰痛,黑大豆
腰痛,鹿衔草
腰痛,刀豆
腰痛,合欢花
腰痛,牵牛子
腰痛,橘核
腰痛,买麻藤
麻疹,山芝麻
麻疹,葛根
麻疹,西河柳
麻疹,芫荽
麻疹,紫草
麻疹,柽柳
麻疹,薄荷
麻疹,紫草茸
麻疹,金荞麦
麻疹,板蓝根
麻疹,荆芥
麻疹,芦根
麻疹,浮萍
小茴香,腹痛
小茴香,胁痛
小茴香,腹冷
女贞,胁痛
女贞,闭经
沙苑子,目昏
八月札,瘰疬
肉苁蓉,不孕
茴香,腹冷
肉桂,短气
肉桂,腹冷
肉桂,浮肿
肉桂,气喘
肉桂,腹痛
肉桂,畏寒
肉桂,小便不利
肉桂,头晕
肉桂,不孕
骨碎补,耳聋
骨碎补,遗尿
八角茴香,腹痛
八角茴香,呕吐
八角茴香,腹冷
狗脊,白带
黑大豆,浮肿
黑大豆,遗尿
黑大豆,口噤
鹿衔草,月经过多
鹿衔草,腰膝无力
鹿衔草,吐血
鹿衔草,咳嗽
鹿衔草,崩漏
刀豆,呃逆
刀豆,呕吐
合欢花,胸闷
牵牛子,大便秘结
买麻藤,骨痛
人参叶,口渴
蜂房,瘰疬
樟脑,臁疮
樟脑,腹痛
樟脑,神昏
山柰,腹冷
朱砂莲,腹泻
朱砂莲,胸痛
天仙子,脱肛
猫爪草,瘰疬
猫爪草,偏头痛
猫爪草,头痛
蟾酥,腹痛
蟾酥,神昏
荜茇,腹冷
荜茇,头痛
荜茇,呕吐
荜茇,偏头痛
铁包金,咳嗽
铁包金,骨痛
白芷,白带
白芷,鼻塞
白芷,头痛
白芷,骨痛
石膏,谵语
石膏,神昏
石膏,口渴
石膏,头痛
石膏,咽干
石膏,壮热
石膏,自汗
石膏,发狂
石膏,心烦
石榴皮,便血
石榴皮,白带
石榴皮,鼻衄
石榴皮,脱肛
石榴皮,吐血
石榴皮,腹痛
石榴皮,崩漏
马钱子,瘫痪
花椒,腹冷
花椒,阴痒
